Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
Debit,3,1,-6.79,1609.11,Delivered,1,7,Automotive,Nakuru,Kenya,Linda,1507,Nguyen,Home Office,Nakuru State,296 Elm St,39110,70,Auto Parts,37.522,-126.3964,Africa,Abuja,Nigeria,1507,40.95,0.2,22.75,-0.0415,9,163.8,163.8,-6.79,East Africa,Abuja Province,Complete,Car Phone Mount,22.75,Same Day
Credit,6,5,111.6,5479.89,Delivered,0,9,Toys & Games,Tijuana,Mexico,Patricia,1577,Anderson,Corporate,Tijuana State,412 Oak St,12408,90,Toys,-14.9186,-50.3496,LATAM,Rio de Janeiro,Brazil,1577,88.7,0.1,88.7,0.1398,10,798.3,798.3,111.6,Central America,Rio de Janeiro Province,Complete,RC Car,88.7,Standard Class
Credit,4,5,405.12,5101.18,Delivered,0,1,Furniture,Córdoba,Argentina,Michael,1698,Thomas,Corporate,Córdoba State,254 Main St,12087,10,Office Supplies,2.3718,-66.3556,LATAM,Mendoza,Argentina,1698,0.0,0.0,216.47,0.2674,7,1515.29,1515.29,405.12,Central America,Mendoza Province,Complete,Bookshelf Unit,216.47,Standard Class
Credit,4,3,-121.25,921.9,Delivered,1,10,Garden & Tools,Phoenix,United States,Susan,1338,Nguyen,Consumer,Phoenix State,472 Pine St,70731,100,Hardware,-25.549,-129.2294,USCA,New York,United States,1338,203.58,0.3,113.1,-0.2553,6,475.02,475.02,-121.25,North America,New York Province,Complete,Cordless Drill,113.1,Second Class
Transfer,3,3,51.18,6448.58,Delivered,0,3,Apparel,Toronto,Canada,Barbara,1790,Scott,Consumer,Toronto State,205 Pine St,47743,30,Fashion,37.0376,-40.095,USCA,Chicago,United States,1790,0.0,0.0,132.85,0.3852,1,132.85,132.85,51.18,North America,Chicago Province,Complete,Women's Blazer,132.85,Second Class
Credit,1,1,192.49,903.73,Shipped,0,5,Home & Kitchen,Nairobi,Kenya,Anthony,1135,Wilson,Home Office,Nairobi State,241 Elm St,83526,50,Home,66.6911,108.2651,Africa,Cape Coast,Ghana,1135,0.0,0.0,127.68,0.2513,6,766.08,766.08,192.49,East Africa,Cape Coast Province,Complete,Instant Pot,127.68,Same Day
Debit,3,2,-12.92,5248.36,Delivered,0,6,Health & Beauty,Mombasa,Kenya,Donald,1191,Flores,Home Office,Mombasa State,665 Cedar St,33850,60,Health,39.8116,-126.1288,Africa,Luxor,Egypt,1191,44.88,0.25,89.76,-0.096,2,134.64,134.64,-12.92,South Africa,Luxor Province,Complete,Hair Dryer Pro,89.76,First Class
Debit,3,3,-57.57,572.28,Delivered,0,5,Home & Kitchen,Kumasi,Ghana,Maria,1448,Wright,Corporate,Kumasi State,400 Main St,60577,50,Home,-26.6432,76.1517,Africa,Giza,Egypt,1448,75.88,0.3,50.59,-0.3251,5,177.06,177.06,-57.57,South Africa,Giza Province,Closed,Knife Set,50.59,Second Class
Debit,3,2,-240.49,5360.31,Delivered,0,1,Furniture,Fukuoka,Japan,Dorothy,1111,Thomas,Consumer,Fukuoka State,661 Oak St,91381,10,Office Supplies,-27.4185,86.8963,Pacific Asia,Shanghai,China,1111,461.94,0.25,923.87,-0.1735,2,1385.81,1385.81,-240.49,Oceania,Shanghai Province,Closed,Conference Table,923.87,First Class
Transfer,1,1,18.75,1643.68,On Hold,0,3,Apparel,Brisbane,Australia,Nancy,1047,White,Corporate,Brisbane State,422 Pine St,82667,30,Fashion,-43.4526,-27.0482,Pacific Asia,Delhi,India,1047,37.3,0.15,41.44,0.0887,6,211.34,211.34,18.75,East Asia,Delhi Province,Complete,Formal Shirt,41.44,Same Day
